identifier,direction,start_index,end_index,price_eur_mw_h,cap_max_mw,block_hours,coverage_hours,committed_mw,capacity_revenue_eur
afrr:2025-01-01:0-4:up,up,0,16,16.86,1.0,4.0,4.0,0.5,33.72
afrr:2025-01-01:4-8:up,up,16,32,16.86,1.0,4.0,4.0,1.0,67.44
afrr:2025-01-01:8-12:up,up,32,48,16.86,1.0,4.0,4.0,1.0,67.44
afrr:2025-01-01:12-16:up,up,48,64,16.86,1.0,4.0,4.0,1.0,67.44
afrr:2025-01-01:16-20:up,up,64,80,16.86,1.0,4.0,4.0,1.0,67.44
afrr:2025-01-01:20-24:up,up,80,96,16.86,1.0,4.0,4.0,0.6691000000000001,45.12410400000001
afrr:2025-01-02:0-4:up,up,96,112,16.86,1.0,4.0,4.0,1.0,67.44
afrr:2025-01-02:4-8:up,up,112,128,16.86,1.0,4.0,4.0,0.6979500000000003,47.06974800000002
afrr:2025-01-02:8-12:up,up,128,144,16.86,1.0,4.0,4.0,0.9559000000000001,64.465896
afrr:2025-01-02:12-16:up,up,144,160,16.86,1.0,4.0,4.0,0.98750625,66.5974215
afrr:2025-01-02:16-20:up,up,160,176,16.86,1.0,4.0,4.0,1.0,67.44
afrr:2025-01-02:20-24:up,up,176,192,16.86,1.0,4.0,4.0,0.9295500000000001,62.688852000000004
afrr:2025-01-03:0-4:up,up,192,208,16.86,1.0,4.0,4.0,0.4507781250000004,30.400476750000028
afrr:2025-01-03:4-8:up,up,208,224,16.86,1.0,4.0,4.0,0.7570335937500003,51.054345562500025
afrr:2025-01-03:8-12:up,up,224,240,16.86,1.0,4.0,4.0,0.8548416015625,57.650517609375
afrr:2025-01-03:12-16:up,up,240,256,16.86,1.0,4.0,4.0,1.0,67.44
afrr:2025-01-03:16-20:up,up,256,272,16.86,1.0,4.0,4.0,0.95275,64.25345999999999
afrr:2025-01-03:20-24:up,up,272,288,16.86,1.0,4.0,4.0,0.8654593749999998,58.366580249999984
afrr:2025-01-04:0-4:up,up,288,304,16.86,1.0,4.0,4.0,0.7195527343750001,48.526636406250006
afrr:2025-01-04:4-8:up,up,304,320,16.86,1.0,4.0,4.0,0.943876923076923,63.65505969230768
afrr:2025-01-04:8-12:up,up,320,336,16.86,1.0,4.0,4.0,0.95275,64.25345999999999
afrr:2025-01-04:12-16:up,up,336,352,16.86,1.0,4.0,4.0,1.0,67.44
afrr:2025-01-04:16-20:up,up,352,368,16.86,1.0,4.0,4.0,0.9340571428571427,62.9928137142857
afrr:2025-01-04:20-24:up,up,368,384,16.86,1.0,4.0,4.0,1.0,67.44
afrr:2025-01-05:0-4:up,up,384,400,16.86,1.0,4.0,4.0,0.9086500000000001,61.279356
afrr:2025-01-05:4-8:up,up,400,416,16.86,1.0,4.0,4.0,1.0,67.44
afrr:2025-01-05:8-12:up,up,416,432,16.86,1.0,4.0,4.0,1.0,67.44
afrr:2025-01-05:12-16:up,up,432,448,16.86,1.0,4.0,4.0,0.98475,66.41154
afrr:2025-01-05:16-20:up,up,448,464,16.86,1.0,4.0,4.0,0.3704906250000003,24.985887750000018
afrr:2025-01-05:20-24:up,up,464,480,16.86,1.0,4.0,4.0,0.5991679687500003,40.40788781250002
afrr:2025-01-06:0-4:up,up,480,496,16.86,1.0,4.0,4.0,1.0,67.44
afrr:2025-01-06:4-8:up,up,496,512,16.86,1.0,4.0,4.0,1.0,67.44
afrr:2025-01-06:8-12:up,up,512,528,16.86,1.0,4.0,4.0,0.98475,66.41154
afrr:2025-01-06:12-16:up,up,528,544,16.86,1.0,4.0,4.0,0.8180266666666667,55.1677184
afrr:2025-01-06:16-20:up,up,544,560,16.86,1.0,4.0,4.0,1.0,67.44
afrr:2025-01-06:20-24:up,up,560,576,16.86,1.0,4.0,4.0,1.0,67.44
afrr:2025-01-07:0-4:up,up,576,592,16.86,1.0,4.0,4.0,0.7500000000000001,50.580000000000005
afrr:2025-01-07:4-8:up,up,592,608,16.86,1.0,4.0,4.0,1.0,67.44
afrr:2025-01-07:8-12:up,up,608,624,16.86,1.0,4.0,4.0,1.0,67.44
afrr:2025-01-07:12-16:up,up,624,640,16.86,1.0,4.0,4.0,1.0,67.44
afrr:2025-01-07:16-20:up,up,640,656,16.86,1.0,4.0,4.0,0.5337633861055885,35.99700275896089
