datetime_utc,market_sell_price_eur_mwh,market_buy_price_eur_mwh,p_pump_mw,p_pump_grid_mw,p_turbine_mw,reservoir_start_mwh,reservoir_end_mwh,pump_ramp_up_mw,turbine_ramp_up_mw,pv_available_mw,pv_to_pump_mw,pv_export_mw,pv_curtail_mw,pv_export_price_eur_mwh,market_energy_net_eur,pv_revenue_eur,total_revenue_eur
2024-12-31T23:00:00Z,10.62,10.62,0.0,-0.0,1.0,2.2222222222222223,1.9444444444444446,-0.0,0.0,0.0,0.0,-0.0,0.0,10.62,2.655,-0.0,2.655
2024-12-31T23:15:00Z,10.62,10.62,0.0,-0.0,1.0,1.9444444444444446,1.666666666666667,0.0,0.0,0.0,0.0,-0.0,0.0,10.62,2.655,-0.0,2.655
2024-12-31T23:30:00Z,10.62,10.62,0.0,-0.0,1.0,1.666666666666667,1.3888888888888893,0.0,0.0,0.0,0.0,-0.0,0.0,10.62,2.655,-0.0,2.655
2024-12-31T23:45:00Z,10.62,10.62,0.0,-0.0,1.0,1.3888888888888893,1.1111111111111116,0.0,0.0,0.0,0.0,-0.0,0.0,10.62,2.655,-0.0,2.655
2025-01-01T00:00:00Z,10.27,10.27,0.0,-0.0,1.0,1.1111111111111116,0.8333333333333338,0.0,0.0,0.0,0.0,-0.0,0.0,10.27,2.5675,-0.0,2.5675
2025-01-01T00:15:00Z,10.27,10.27,0.0,-0.0,1.0,0.8333333333333338,0.555555555555556,0.0,0.0,0.0,0.0,-0.0,0.0,10.27,2.5675,-0.0,2.5675
2025-01-01T00:30:00Z,10.27,10.27,0.0,-0.0,1.0,0.555555555555556,0.27777777777777823,0.0,0.0,0.0,0.0,-0.0,0.0,10.27,2.5675,-0.0,2.5675
2025-01-01T00:45:00Z,10.27,10.27,0.0,-0.0,1.0,0.27777777777777823,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,10.27,2.5675,-0.0,2.5675
2025-01-01T01:00:00Z,8.38,8.38,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,8.38,0.0,-0.0,0.0
2025-01-01T01:15:00Z,8.38,8.38,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,8.38,0.0,-0.0,0.0
2025-01-01T01:30:00Z,8.38,8.38,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,8.38,0.0,-0.0,0.0
2025-01-01T01:45:00Z,8.38,8.38,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,8.38,0.0,-0.0,0.0
2025-01-01T02:00:00Z,6.61,6.61,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,6.61,0.0,-0.0,0.0
2025-01-01T02:15:00Z,6.61,6.61,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,6.61,0.0,-0.0,0.0
2025-01-01T02:30:00Z,6.61,6.61,0.2306878306878349,0.2306878306878349,0.0,-0.0,0.045214814814815645,0.2306878306878349,0.0,0.0,0.0,-0.0,0.0,6.61,-0.3812116402116472,-0.0,-0.3812116402116472
2025-01-01T02:45:00Z,6.61,6.61,1.0,1.0,0.0,0.045214814814815645,0.24444444444444532,0.7693121693121653,0.0,0.0,0.0,-0.0,0.0,6.61,-1.6525,-0.0,-1.6525
2025-01-01T03:00:00Z,2.29,2.29,1.0,1.0,0.0,0.24444444444444532,0.4544444444444453,-0.0,0.0,0.0,0.0,-0.0,0.0,2.29,-0.5725,-0.0,-0.5725
2025-01-01T03:15:00Z,2.29,2.29,1.0,1.0,0.0,0.4544444444444453,0.6644444444444453,0.0,0.0,0.0,0.0,-0.0,0.0,2.29,-0.5725,-0.0,-0.5725
2025-01-01T03:30:00Z,2.29,2.29,1.0,1.0,0.0,0.6644444444444453,0.8744444444444452,0.0,0.0,0.0,0.0,-0.0,0.0,2.29,-0.5725,-0.0,-0.5725
2025-01-01T03:45:00Z,2.29,2.29,1.0,1.0,0.0,0.8744444444444452,1.0844444444444452,0.0,0.0,0.0,0.0,-0.0,0.0,2.29,-0.5725,-0.0,-0.5725
2025-01-01T04:00:00Z,3.01,3.01,1.0,1.0,0.0,1.0844444444444452,1.2944444444444452,0.0,0.0,0.0,0.0,-0.0,0.0,3.01,-0.7525,-0.0,-0.7525
2025-01-01T04:15:00Z,3.01,3.01,1.0,1.0,0.0,1.2944444444444452,1.5044444444444451,0.0,0.0,0.0,0.0,-0.0,0.0,3.01,-0.7525,-0.0,-0.7525
