period,interval_count,duration_hours,energy_gross_eur,grid_charging_cost_eur,market_energy_net_eur,capacity_revenue_eur,pv_revenue_eur,total_site_revenue_eur,pumped_mwh,turbined_mwh,full_cycles,pv_available_mwh,pv_self_consumed_mwh,pv_exported_mwh,pv_curtailed_mwh,simultaneous_interval_count,simultaneous_overlap_mwh,simultaneous_interval_energy_net_eur
2025-01,2976,744.0,20010.78596733254,13250.859891060685,6759.9260762718195,0.0,765.7107715615534,7525.636847833373,170.54586584114057,130.2760754779589,29.31211698254075,9.648631585905076,2.996241672520763,6.652389913384315,0.0,0,0.0,0.0
2025-02,2688,672.0,18256.827552544844,14014.453436326135,4242.374116218679,0.0,1546.7502391024957,5789.124355321174,145.4847925433529,109.40063797647709,24.615143544707344,21.679781717560807,9.455708277766762,12.224073439794044,0.0,0,0.0,0.0
2025-03,2972,743.0,20967.522737394815,8926.49904206406,12041.023695330732,0.0,1219.7185251439423,13260.742220474674,205.9700645477062,152.00431907571024,34.2009717920348,45.76054467728688,25.39342979132792,12.526740725812568,7.840374160146372,0,0.0,0.0
2025-04,2880,720.0,19317.06367831501,4584.924564066785,14732.1391142482,0.0,1319.972304279875,16052.111418528075,213.8542700487064,157.26240921552693,35.38404207349356,56.94120498350851,16.5974113050817,17.57232531668321,22.77146836174362,0,0.0,0.0
2025-05,2976,744.0,17554.222932417135,739.357328996587,16814.865603420552,0.0,1266.108950340592,18080.974553761145,224.2466592009959,153.8686112974371,34.620437541923344,59.18088927942759,13.604902038189966,19.384037441049237,26.19194980018832,0,0.0,0.0
2025-06,2880,720.0,17582.792665803514,1646.0100321133425,15936.782633690167,0.0,1391.6194373655953,17328.402071055763,214.45909098073258,142.75697039547774,32.120318338982486,61.091325724410076,13.392372237033088,19.93301149518338,27.765941992193536,0,0.0,0.0
2025-07,2976,744.0,18046.43584305337,6506.62487412864,11539.810968924749,0.0,1878.84857637602,13418.659545300769,186.69532507190692,140.01929136488204,31.504340557098455,57.062362526042634,30.844392694774378,21.688633486465623,4.529336344802572,0,0.0,0.0
2025-08,2976,744.0,16050.618549837598,3906.5956855001937,12144.022864337398,0.0,1242.3097021407004,13386.332566478099,204.20496712966965,144.91816159362864,32.60658635856644,56.16680182062389,23.50996552744055,17.300392629923262,15.356443663260118,0,0.0,0.0
2025-09,2880,720.0,18593.65551520372,6954.693373354225,11638.962141849506,0.0,941.0200578344214,12579.982199683927,247.1054083061241,180.0477424433783,40.51074204976012,42.98179689972541,18.70301731694117,13.3902094498021,10.888570132982098,6,0.040383519087923085,29.685
2025-10,2980,745.0,20156.495269961386,11434.122792983428,8722.37247697794,0.0,599.3324112545702,9321.70488823251,260.17248004249103,185.99592055894493,41.84908212576261,20.140542486646897,10.880606059546,7.327051654643736,1.932884772457167,0,0.0,0.0
2025-11,2880,720.0,15361.121149474731,10550.738882239613,4810.382267235121,0.0,764.2692220973394,5574.65148933246,176.56702510587996,129.51028808619543,29.13981481939397,13.598212512235548,4.840191410333583,8.75802110190196,0.0,0,0.0,0.0
2025-12,2976,744.0,11459.848695125027,8151.426817811679,3308.4218773133325,0.0,778.9732103578485,4087.395087671181,136.5923398342466,103.05594603640964,23.187587858192167,10.631449161002566,1.5982350088061907,9.033214152196374,0.0,0,0.0,0.0
