identifier,direction,start_index,end_index,price_eur_mw_h,cap_max_mw,block_hours,coverage_hours,committed_mw,capacity_revenue_eur
mfrr:2025-01-01:16-20:up,up,64,80,8.684999999999999,1.0,4.0,4.0,1.0,34.739999999999995
mfrr:2025-01-02:16-20:up,up,160,176,8.684999999999999,1.0,4.0,4.0,1.0,34.739999999999995
mfrr:2025-01-03:16-20:up,up,256,272,8.684999999999999,1.0,4.0,4.0,0.875,30.397499999999994
mfrr:2025-01-03:20-24:up,up,272,288,8.684999999999999,1.0,4.0,4.0,0.875,30.397499999999994
mfrr:2025-01-07:8-12:up,up,608,624,8.684999999999999,1.0,4.0,4.0,1.0,34.739999999999995
mfrr:2025-01-07:16-20:up,up,640,656,8.684999999999999,1.0,4.0,4.0,1.0,34.739999999999995
mfrr:2025-01-08:8-12:up,up,704,720,8.684999999999999,1.0,4.0,4.0,1.0,34.739999999999995
mfrr:2025-01-08:12-16:up,up,720,736,8.684999999999999,1.0,4.0,4.0,0.6278556847544374,21.811706488369154
mfrr:2025-01-08:16-20:up,up,736,752,8.684999999999999,1.0,4.0,4.0,0.5493737241601327,19.085243177323008
mfrr:2025-01-09:8-12:up,up,800,816,8.684999999999999,1.0,4.0,4.0,1.0,34.739999999999995
mfrr:2025-01-09:12-16:up,up,816,832,8.684999999999999,1.0,4.0,4.0,0.98475,34.210215
mfrr:2025-01-09:16-20:up,up,832,848,8.684999999999999,1.0,4.0,4.0,0.31415685803941007,10.913809248289104
mfrr:2025-01-09:20-24:up,up,848,864,8.684999999999999,1.0,4.0,4.0,0.31415685803941007,10.913809248289104
mfrr:2025-01-10:8-12:up,up,896,912,8.684999999999999,1.0,4.0,4.0,1.0,34.739999999999995
mfrr:2025-01-10:12-16:up,up,912,928,8.684999999999999,1.0,4.0,4.0,1.0,34.739999999999995
mfrr:2025-01-10:16-20:up,up,928,944,8.684999999999999,1.0,4.0,4.0,1.0,34.739999999999995
mfrr:2025-01-10:20-24:up,up,944,960,8.684999999999999,1.0,4.0,4.0,1.0,34.739999999999995
mfrr:2025-01-11:8-12:up,up,992,1008,8.684999999999999,1.0,4.0,4.0,1.0,34.739999999999995
mfrr:2025-01-11:12-16:up,up,1008,1024,8.684999999999999,1.0,4.0,4.0,1.0,34.739999999999995
mfrr:2025-01-11:16-20:up,up,1024,1040,8.684999999999999,1.0,4.0,4.0,1.0,34.739999999999995
mfrr:2025-01-11:20-24:up,up,1040,1056,8.684999999999999,1.0,4.0,4.0,0.875,30.397499999999994
mfrr:2025-01-12:8-12:up,up,1088,1104,8.684999999999999,1.0,4.0,4.0,1.0,34.739999999999995
mfrr:2025-01-12:12-16:up,up,1104,1120,8.684999999999999,1.0,4.0,4.0,1.0,34.739999999999995
mfrr:2025-01-12:16-20:up,up,1120,1136,8.684999999999999,1.0,4.0,4.0,1.0,34.739999999999995
mfrr:2025-01-12:20-24:up,up,1136,1152,8.684999999999999,1.0,4.0,4.0,1.0,34.739999999999995
mfrr:2025-01-13:8-12:up,up,1184,1200,8.684999999999999,1.0,4.0,4.0,1.0,34.739999999999995
mfrr:2025-01-13:12-16:up,up,1200,1216,8.684999999999999,1.0,4.0,4.0,1.0,34.739999999999995
mfrr:2025-01-13:16-20:up,up,1216,1232,8.684999999999999,1.0,4.0,4.0,1.0,34.739999999999995
mfrr:2025-01-13:20-24:up,up,1232,1248,8.684999999999999,1.0,4.0,4.0,0.9375,32.568749999999994
mfrr:2025-01-14:8-12:up,up,1280,1296,8.684999999999999,1.0,4.0,4.0,1.0,34.739999999999995
mfrr:2025-01-14:12-16:up,up,1296,1312,8.684999999999999,1.0,4.0,4.0,0.5774786965065398,20.06160991663719
mfrr:2025-01-14:16-20:up,up,1312,1328,8.684999999999999,1.0,4.0,4.0,1.0,34.739999999999995
mfrr:2025-01-14:20-24:up,up,1328,1344,8.684999999999999,1.0,4.0,4.0,0.7500000000000001,26.055
mfrr:2025-01-15:4-8:up,up,1360,1376,8.684999999999999,1.0,4.0,4.0,0.8421000000000001,29.254554
mfrr:2025-01-15:8-12:up,up,1376,1392,8.684999999999999,1.0,4.0,4.0,1.0,34.739999999999995
mfrr:2025-01-15:12-16:up,up,1392,1408,8.684999999999999,1.0,4.0,4.0,0.50231071183458,17.450274129133305
mfrr:2025-01-15:16-20:up,up,1408,1424,8.684999999999999,1.0,4.0,4.0,0.50231071183458,17.450274129133305
mfrr:2025-01-15:20-24:up,up,1424,1440,8.684999999999999,1.0,4.0,4.0,0.34533861438627383,11.997063463779151
mfrr:2025-01-16:4-8:up,up,1456,1472,8.684999999999999,1.0,4.0,4.0,0.811,28.174139999999998
mfrr:2025-01-16:8-12:up,up,1472,1488,8.684999999999999,1.0,4.0,4.0,1.0,34.739999999999995
